Paddle ID,102,105,103,104,106
00000U,2300,2270,2330,2240,2210
00001U,1350,1320,1380,1290,1260
00002U,1400,1370,1430,1340,1310
00003U,1325,1295,1355,1265,1235
00004U,1250,1220,1280,1190,1160
00005U,1350,1320,1380,1290,1260
00006U,1450,1420,1480,1390,1360
00007U,1550,1520,1580,1490,1460
00008U,1350,1320,1380,1290,1260
00009U,1475,1445,1505,1415,1385
00010U,1550,1520,1580,1490,1460
00000D,1500,1470,1530,1440,1410
00001D,1400,1370,1430,1340,1310
00002D,1450,1420,1480,1390,1360
00003D,1400,1370,1430,1340,1310
00004D,1200,1170,1230,1140,1110
00005D,1350,1320,1380,1290,1260
00006D,1350,1320,1380,1290,1260
00007D,2350,2320,2380,2290,2260
00008D,1350,1320,1380,1290,1260
00009D,2000,1970,2030,1940,1910
00010D,1950,1920,1980,1890,1860
00100U,1550,1520,1580,1490,1460
00101U,1350,1320,1380,1290,1260
00102U,1450,1420,1480,1390,1360
00103U,1400,1370,1430,1340,1310
00104U,1525,1495,1555,1465,1435
00105U,1475,1445,1505,1415,1385
00106U,1350,1320,1380,1290,1260
00107U,1450,1420,1480,1390,1360
00108U,1425,1395,1455,1365,1335
00109U,1300,1270,1330,1240,1210
00110U,1400,1370,1430,1340,1310
00100D,1250,1220,1280,1190,1160
00101D,1950,1920,1980,1890,1860
00102D,2350,2320,2380,2290,2260
00103D,1000,970,1030,940,910
00104D,1350,1320,1380,1290,1260
00105D,1600,1570,1630,1540,1510
00106D,1850,1820,1880,1790,1760
00107D,1350,1320,1380,1290,1260
00108D,2000,1970,2030,1940,1910
00109D,1300,1270,1330,1240,1210
00110D,1450,1420,1480,1390,1360
10000U,1600,1570,1630,1540,1510
10001U,1250,1220,1280,1190,1160
10002U,1325,1295,1355,1265,1235
10003U,1750,1720,1780,1690,1660
10004U,1575,1545,1605,1515,1485
10005U,1275,1245,1305,1215,1185
10006U,1600,1570,1630,1540,1510
10007U,1375,1345,1405,1315,1285
10008U,1300,1270,1330,1240,1210
10009U,1475,1445,1505,1415,1385
10010U,1900,1870,1930,1840,1810
10000D,1600,1570,1630,1540,1510
10001D,1500,1470,1530,1440,1410
10002D,1225,1195,1255,1165,1135
10003D,1250,1220,1280,1190,1160
10004D,1300,1270,1330,1240,1210
10005D,1425,1395,1455,1365,1335
10006D,1200,1170,1230,1140,1110
10007D,1325,1295,1355,1265,1235
10008D,2000,1970,2030,1940,1910
10009D,1350,1320,1380,1290,1260
10010D,1350,1320,1380,1290,1260
10100U,1600,1570,1630,1540,1510
10101U,1600,1570,1630,1540,1510
10102U,1550,1520,1580,1490,1460
10103U,1400,1370,1430,1340,1310
10104U,1475,1445,1505,1415,1385
10105U,1700,1670,1730,1640,1610
10106U,1400,1370,1430,1340,1310
10107U,2275,2245,2305,2215,2185
10108U,2125,2095,2155,2065,2035
10109U,2025,1995,2055,1965,1935
10110U,1400,1370,1430,1340,1310
10100D,1500,1470,1530,1440,1410
10101D,1650,1620,1680,1590,1560
10102D,1500,1470,1530,1440,1410
10103D,1700,1670,1730,1640,1610
10104D,1200,1170,1230,1140,1110
10105D,1300,1270,1330,1240,1210
10106D,2150,2120,2180,2090,2060
10107D,2175,2145,2205,2115,2085
10108D,2200,2170,2230,2140,2110
10109D,1600,1570,1630,1540,1510
10110D,1425,1395,1455,1365,1335
20000U,1500,1470,1530,1440,1410
20001U,1425,1395,1455,1365,1335
20002U,1525,1495,1555,1465,1435
20003U,2100,2070,2130,2040,2010
20004U,1200,1170,1230,1140,1110
20005U,1250,1220,1280,1190,1160
20006U,1950,1920,1980,1890,1860
20007U,1225,1195,1255,1165,1135
20008U,1675,1645,1705,1615,1585
20009U,1275,1245,1305,1215,1185
20010U,1325,1295,1355,1265,1235
20000D,1550,1520,1580,1490,1460
20001D,2350,2320,2380,2290,2260
20002D,2325,2295,2355,2265,2235
20003D,1375,1345,1405,1315,1285
20004D,1200,1170,1230,1140,1110
20005D,2400,2370,2430,2340,2310
20006D,1325,1295,1355,1265,1235
20007D,2075,2045,2105,2015,1985
20008D,2300,2270,2330,2240,2210
20009D,1200,1170,1230,1140,1110
20010D,2275,2245,2305,2215,2185